Full company name,Payments to Governments Report,Country,Year
AZIZ NAIM COMPANY,15000.0,Afghanistan,2019
AZIZ ULLAH,80604.0,Afghanistan,2019
BABRAK NASEERZAI LIMITED,856988.0,Afghanistan,2019
BAGHLAN QATGHAN LIMITED,1632014.0,Afghanistan,2019
BAKHTAR AFGHAN MARBLE COMPANY,90558.0,Afghanistan,2019
BILAL HAIDARI LIMITED,115315.0,Afghanistan,2019
BILAL IQBAL HUSSAINI LIMITED,838187.0,Afghanistan,2019
BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,29084756.0,Afghanistan,2019
CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED,68359.0,Afghanistan,2019
CORE DRILLERS,1285473.0,Afghanistan,2019
DAWAJAN TAREEN LIMITED,4676825.0,Afghanistan,2019
DAWATAZI BALKYAAN LIMITED,110924.0,Afghanistan,2019
EHSAN AZIZ CONSTRUCTION COMPANY,3007497.0,Afghanistan,2019
FARHAN ZADRAN LIMITED,47042708.0,Afghanistan,2019
FARSHAD MOHIDI LIMITED,47300010.0,Afghanistan,2019
FAZAL UQAAB FARZAD LIMITED,7244.0,Afghanistan,2019
FULAD MALISTAN COMPANY,377249.0,Afghanistan,2019
GHULAM SARWAR STANIKZAI LIMITED,160478289.0,Afghanistan,2019
HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,21212685.0,Afghanistan,2019
HAJI BABA LIMITED,13729143.0,Afghanistan,2019
HAJI MALANG LIMITED,874109.0,Afghanistan,2019
HAJI NABI JAN LIMITED,31138107.0,Afghanistan,2019
HAKEEM TAREEN LIMITED,39901285.0,Afghanistan,2019
HAKIM JAN,189240.0,Afghanistan,2019
HALEEM KHAN TAREEN LIMITED,1529774.0,Afghanistan,2019
HASHIMY GROUP,18782755.0,Afghanistan,2019
HASHMAT WALI MANDOZAI LIMITED,1990668.0,Afghanistan,2019
HASSAN AQA,70425.0,Afghanistan,2019
HAYAT HASSAN LIMITED,3216577.0,Afghanistan,2019
HEWAD BAGHLAN HOTAK LIMITED,453013.0,Afghanistan,2019
HIKMAT MOHAMMAD SHERZAD LIMITED,38778792.0,Afghanistan,2019
