Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Excel Minerals,Guyana Gold Board (GGB),Royalties-,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Gold Target Export,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Gold Target Export,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Gold Target Export,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Gold Target Export,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Grey Wolf Resources,Guyana Gold Board (GGB),Admin fees,Yes,Yes,Grey Wolf Resources,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Grey Wolf Resources,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Grey Wolf Resources,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana Industrial Mineral GIMIN,Environmental Protection Agency (EPA),Licence Fees,Yes,Yes,"Bonasika, Potaro 2",GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana Industrial Mineral GIMIN,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,"Bonasika, Potaro 2",GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana Industrial Mineral GIMIN,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,"Bonasika, Potaro 2",GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana Industrial Mineral GIMIN,Guyana Geology and Mines Commission (GGMC),Royalties,Yes,Yes,"Bonasika, Potaro 2",GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Guyana Geology and Mines Commission (GGMC),Application fees (Licence),Yes,Yes,HIGGINS WINSLOW THEOPILUS,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
